"","short","long","gold","silver","bronze","total","long2","yr"
"2978","IRL","Ireland","-","1","1","2","Ireland","paris-1924"
"2979","POL","Poland","-","1","1","2","Poland","paris-1924"
"2980","JPN","Japan","-","-","1","1","Japan","paris-1924"
"2981","HAI","Haiti","-","-","1","1","Haiti","paris-1924"
"2982","MON","Monaco","-","-","1","1","Monaco","paris-1924"
"2983","POR","Portugal","-","-","1","1","Portugal","paris-1924"
"2984","ROU","Romania","-","-","1","1","Romania","paris-1924"
"2985","NZL","New Zealand","-","-","1","1","New Zealand","paris-1924"
"2986","USA","United States of America","45","27","27","99","United States of America","paris-1924"
"2987","FRA","France","14","15","12","41","France","paris-1924"
"2988","FIN","Finland","14","13","10","37","Finland","paris-1924"
"2989","GBR","Great Britain","9","14","12","35","Great Britain","paris-1924"
"2990","ITA","Italy","8","3","5","16","Italy","paris-1924"
"2991","SUI","Switzerland","7","8","10","25","Switzerland","paris-1924"
"2992","NOR","Norway","5","2","3","10","Norway","paris-1924"
"2993","SWE","Sweden","4","13","12","29","Sweden","paris-1924"
"2994","NED","Netherlands","4","1","6","11","Netherlands","paris-1924"
"2995","BEL","Belgium","3","7","3","13","Belgium","paris-1924"
"2996","AUS","Australia","3","1","2","6","Australia","paris-1924"
"2997","DEN","Denmark","2","6","3","11","Denmark","paris-1924"
"2998","HUN","Hungary","2","4","4","10","Hungary","paris-1924"
"2999","YUG","Yugoslavia","2","-","-","2","Yugoslavia","paris-1924"
"3000","TCH","Czechoslovakia","1","4","5","10","Czechoslovakia","paris-1924"
"3001","ARG","Argentina","1","3","2","6","Argentina","paris-1924"
"3002","EST","Estonia","1","1","4","6","Estonia","paris-1924"
"3003","RSA","South Africa","1","1","1","3","South Africa","paris-1924"
"3004","LUX","Luxembourg","1","1","-","2","Luxembourg","paris-1924"
"3005","GRE","Greece","1","-","-","1","Greece","paris-1924"
"3006","URU","Uruguay","1","-","-","1","Uruguay","paris-1924"
"3007","CAN","Canada","-","3","1","4","Canada","paris-1924"
"3008","AUT","Austria","-","3","1","4","Austria","paris-1924"
"3009","IRL","Ireland","-","1","1","2","Ireland","paris-1924"
"3010","POL","Poland","-","1","1","2","Poland","paris-1924"
"3011","JPN","Japan","-","-","1","1","Japan","paris-1924"
"3012","HAI","Haiti","-","-","1","1","Haiti","paris-1924"
"3013","MON","Monaco","-","-","1","1","Monaco","paris-1924"
"3014","POR","Portugal","-","-","1","1","Portugal","paris-1924"
"3015","ROU","Romania","-","-","1","1","Romania","paris-1924"
"3016","NZL","New Zealand","-","-","1","1","New Zealand","paris-1924"
"3017","USA","United States of America","41","27","27","95","United States of America","antwerp-1920"
"3018","SWE","Sweden","19","20","25","64","Sweden","antwerp-1920"
"3019","BEL","Belgium","16","12","14","42","Belgium","antwerp-1920"
"3020","FIN","Finland","15","10","9","34","Finland","antwerp-1920"
"3021","GBR","Great Britain","14","16","13","43","Great Britain","antwerp-1920"
"3022","ITA","Italy","14","6","5","25","Italy","antwerp-1920"
"3023","NOR","Norway","13","10","9","32","Norway","antwerp-1920"
"3024","FRA","France","9","20","13","42","France","antwerp-1920"
"3025","NED","Netherlands","4","2","5","11","Netherlands","antwerp-1920"
"3026","DEN","Denmark","3","9","1","13","Denmark","antwerp-1920"
"3027","RSA","South Africa","3","4","3","10","South Africa","antwerp-1920"
"3028","CAN","Canada","3","3","3","9","Canada","antwerp-1920"
"3029","SUI","Switzerland","2","2","7","11","Switzerland","antwerp-1920"
"3030","EST","Estonia","1","2","-","3","Estonia","antwerp-1920"
"3031","BRA","Brazil","1","1","1","3","Brazil","antwerp-1920"
"3032","AUS","Australia","-","2","1","3","Australia","antwerp-1920"
"3033","ESP","Spain","-","2","-","2","Spain","antwerp-1920"
"3034","JPN","Japan","-","2","-","2","Japan","antwerp-1920"
"3035","GRE","Greece","-","1","-","1","Greece","antwerp-1920"
"3036","LUX","Luxembourg","-","1","-","1","Luxembourg","antwerp-1920"
"3037","TCH","Czechoslovakia","-","-","2","2","Czechoslovakia","antwerp-1920"
"3038","NZL","New Zealand","-","-","1","1","New Zealand","antwerp-1920"
"3039","USA","United States of America","41","27","27","95","United States of America","antwerp-1920"
"3040","SWE","Sweden","19","20","25","64","Sweden","antwerp-1920"
"3041","BEL","Belgium","16","12","14","42","Belgium","antwerp-1920"
"3042","FIN","Finland","15","10","9","34","Finland","antwerp-1920"
"3043","GBR","Great Britain","14","16","13","43","Great Britain","antwerp-1920"
"3044","ITA","Italy","14","6","5","25","Italy","antwerp-1920"
"3045","NOR","Norway","13","10","9","32","Norway","antwerp-1920"
"3046","FRA","France","9","20","13","42","France","antwerp-1920"
"3047","NED","Netherlands","4","2","5","11","Netherlands","antwerp-1920"
"3048","DEN","Denmark","3","9","1","13","Denmark","antwerp-1920"
"3049","RSA","South Africa","3","4","3","10","South Africa","antwerp-1920"
"3050","CAN","Canada","3","3","3","9","Canada","antwerp-1920"
"3051","SUI","Switzerland","2","2","7","11","Switzerland","antwerp-1920"
"3052","EST","Estonia","1","2","-","3","Estonia","antwerp-1920"
"3053","BRA","Brazil","1","1","1","3","Brazil","antwerp-1920"
"3054","AUS","Australia","-","2","1","3","Australia","antwerp-1920"
"3055","ESP","Spain","-","2","-","2","Spain","antwerp-1920"
"3056","JPN","Japan","-","2","-","2","Japan","antwerp-1920"
"3057","GRE","Greece","-","1","-","1","Greece","antwerp-1920"
"3058","LUX","Luxembourg","-","1","-","1","Luxembourg","antwerp-1920"
"3059","TCH","Czechoslovakia","-","-","2","2","Czechoslovakia","antwerp-1920"
"3060","NZL","New Zealand","-","-","1","1","New Zealand","antwerp-1920"
